district,Sex,Age,month of estimation,population
FS - Thabo Mofutsanyane District Municipality (DC19),Male,5-9,2019-07-31,40906.6263643524
FS - Thabo Mofutsanyane District Municipality (DC19),Male,50-59,2019-07-31,20807.72997195136
FS - Thabo Mofutsanyane District Municipality (DC19),Male,60+,2019-07-31,22158.65339912146
FS - Xhariep District Municipality (DC16),Female,0-4,2019-07-31,7172.791712700252
FS - Xhariep District Municipality (DC16),Female,10-14,2019-07-31,6631.768839608601
FS - Xhariep District Municipality (DC16),Female,15-19,2019-07-31,5606.4489042690875
FS - Xhariep District Municipality (DC16),Female,18-34,2019-07-31,14827.680224687298
FS - Xhariep District Municipality (DC16),Female,35-49,2019-07-31,10946.782631514958
FS - Xhariep District Municipality (DC16),Female,5-9,2019-07-31,6812.154859307434
FS - Xhariep District Municipality (DC16),Female,50-59,2019-07-31,5138.853825632846
FS - Xhariep District Municipality (DC16),Female,60+,2019-07-31,7327.362924697623
FS - Xhariep District Municipality (DC16),Male,0-4,2019-07-31,7263.648676982337
FS - Xhariep District Municipality (DC16),Male,10-14,2019-07-31,6573.728267966272
FS - Xhariep District Municipality (DC16),Male,15-19,2019-07-31,5572.03170893568
FS - Xhariep District Municipality (DC16),Male,18-34,2019-07-31,15576.230894308868
FS - Xhariep District Municipality (DC16),Male,35-49,2019-07-31,11041.748233224807
FS - Xhariep District Municipality (DC16),Male,5-9,2019-07-31,6815.6160475405995
FS - Xhariep District Municipality (DC16),Male,50-59,2019-07-31,4523.647495443323
FS - Xhariep District Municipality (DC16),Male,60+,2019-07-31,4718.975646298589
GT - City of Johannesburg Metropolitan Municipality,Female,0-4,2019-07-31,238845.25165440943
GT - City of Johannesburg Metropolitan Municipality,Female,10-14,2019-07-31,196746.50998909806
GT - City of Johannesburg Metropolitan Municipality,Female,15-19,2019-07-31,190860.76350731193
GT - City of Johannesburg Metropolitan Municipality,Female,18-34,2019-07-31,902067.7816999607
GT - City of Johannesburg Metropolitan Municipality,Female,35-49,2019-07-31,655108.525332653
GT - City of Johannesburg Metropolitan Municipality,Female,5-9,2019-07-31,218149.4371686878
GT - City of Johannesburg Metropolitan Municipality,Female,50-59,2019-07-31,237923.87445790652
GT - City of Johannesburg Metropolitan Municipality,Female,60+,2019-07-31,251528.26802586394
GT - City of Johannesburg Metropolitan Municipality,Male,0-4,2019-07-31,243499.48444318128
GT - City of Johannesburg Metropolitan Municipality,Male,10-14,2019-07-31,195657.27583746752
GT - City of Johannesburg Metropolitan Municipality,Male,15-19,2019-07-31,187373.27261798776
GT - City of Johannesburg Metropolitan Municipality,Male,18-34,2019-07-31,866624.5841895803
GT - City of Johannesburg Metropolitan Municipality,Male,35-49,2019-07-31,685576.6075563366
GT - City of Johannesburg Metropolitan Municipality,Male,5-9,2019-07-31,221701.04851649934
GT - City of Johannesburg Metropolitan Municipality,Male,50-59,2019-07-31,230492.91881545895
GT - City of Johannesburg Metropolitan Municipality,Male,60+,2019-07-31,192952.05549713667
GT - City of Tshwane Metropolitan Municipality,Female,0-4,2019-07-31,152553.64868764396
GT - City of Tshwane Metropolitan Municipality,Female,10-14,2019-07-31,135028.47572908358
GT - City of Tshwane Metropolitan Municipality,Female,15-19,2019-07-31,127622.20769485063
GT - City of Tshwane Metropolitan Municipality,Female,18-34,2019-07-31,575437.8515070879
GT - City of Tshwane Metropolitan Municipality,Female,35-49,2019-07-31,381128.11263912445
GT - City of Tshwane Metropolitan Municipality,Female,5-9,2019-07-31,143412.25197548931
GT - City of Tshwane Metropolitan Municipality,Female,50-59,2019-07-31,158020.20966003387
GT - City of Tshwane Metropolitan Municipality,Female,60+,2019-07-31,171336.27484183738
GT - City of Tshwane Metropolitan Municipality,Male,0-4,2019-07-31,156263.45492099412
GT - City of Tshwane Metropolitan Municipality,Male,10-14,2019-07-31,136809.12909527024
GT - City of Tshwane Metropolitan Municipality,Male,15-19,2019-07-31,126487.90930664455
GT - City of Tshwane Metropolitan Municipality,Male,18-34,2019-07-31,562623.7236180957
GT - City of Tshwane Metropolitan Municipality,Male,35-49,2019-07-31,394875.1441375118
GT - City of Tshwane Metropolitan Municipality,Male,5-9,2019-07-31,147204.23969826777
GT - City of Tshwane Metropolitan Municipality,Male,50-59,2019-07-31,147288.40911080322
GT - City of Tshwane Metropolitan Municipality,Male,60+,2019-07-31,133774.047383641
GT - Ekurhuleni Metropolitan Municipality,Female,0-4,2019-07-31,175732.5081314907
GT - Ekurhuleni Metropolitan Municipality,Female,10-14,2019-07-31,143560.5806986147
GT - Ekurhuleni Metropolitan Municipality,Female,15-19,2019-07-31,134104.68843057987
GT - Ekurhuleni Metropolitan Municipality,Female,18-34,2019-07-31,580236.3582713087
GT - Ekurhuleni Metropolitan Municipality,Female,35-49,2019-07-31,385400.25814455026
GT - Ekurhuleni Metropolitan Municipality,Female,5-9,2019-07-31,161410.62526685998
GT - Ekurhuleni Metropolitan Municipality,Female,50-59,2019-07-31,162141.19484482432
GT - Ekurhuleni Metropolitan Municipality,Female,60+,2019-07-31,165701.62566235173
